gene,source
RECK,CellAge
RECQL4,CellAge
RELA,CellAge
RELB,CellAge
RHOA,CellAge
RNASEH2A,CellAge
RNASEH2B,CellAge
RNASEL,CellAge
ROMO1,CellAge
RPL11,CellAge
RPS14,CellAge
RPS6KB1,CellAge
RPS9,CellAge
RPTOR,CellAge
RRAD,CellAge
RRAS2,CellAge
RRM1,CellAge
RRM2,CellAge
RRM2B,CellAge
RRP8,CellAge
RTN4,CellAge
RUNX1,CellAge
RUVBL2,CellAge
S100A6,CellAge
SALL1,CellAge
SAMHD1,CellAge
SAT2,CellAge
SDC1,CellAge
SELENBP1,CellAge
SELENOH,CellAge
SENP1,CellAge
SENP7,CellAge
SERPINB2,CellAge
SERPINE1,CellAge
SETD1A,CellAge
SFN,CellAge
SFRP1,CellAge
SGK1,CellAge
SIAH1,CellAge
SIK1,CellAge
SIN3B,CellAge
SIRT1,CellAge
SIRT2,CellAge
SIRT3,CellAge
SIRT6,CellAge
SIRT7,CellAge
SIX1,CellAge
SIX6,CellAge
SKP2,CellAge
SLC13A3,CellAge
SLC16A7,CellAge
SLC25A5,CellAge
SLC31A2,CellAge
SLC52A1,CellAge
SLC5A2,CellAge
SMAD1,CellAge
SMAD2,CellAge
SMAD3,CellAge
SMAD5,CellAge
SMAD6,CellAge
SMARCA2,CellAge
SMARCA4,CellAge
SMARCB1,CellAge
SMARCD1,CellAge
SMC1A,CellAge
SMC2,CellAge
SMG1,CellAge
SMURF2,CellAge
SNAI1,CellAge
SOCS1,CellAge
SOD1,CellAge
SOD2,CellAge
SORBS2,CellAge
SOX1,CellAge
SOX2,CellAge
SOX4,CellAge
SOX5,CellAge
SP1,CellAge
SPAG9,CellAge
SPARC,CellAge
SPHK1,CellAge
SPI1,CellAge
SPIN1,CellAge
SPOP,CellAge
SRC,CellAge
SREBF1,CellAge
SRF,CellAge
SRSF1,CellAge
SRSF2,CellAge
SRSF3,CellAge
SSX2,CellAge
STAG2,CellAge
STAT1,CellAge
STAT3,CellAge
STAT5A,CellAge
STAT5B,CellAge
STAT6,CellAge
STIM1,CellAge
STK32C,CellAge
STK4,CellAge
STK40,CellAge
STN1,CellAge
STUB1,CellAge
SUMO2,CellAge
SUMO3,CellAge
SUPT5H,CellAge
SUV39H1,CellAge
SUZ12,CellAge
SYK,CellAge
SYT1,CellAge
SYT7,CellAge
TACC3,CellAge
TAGLN,CellAge
TBK1,CellAge
TBPL1,CellAge
TBX2,CellAge
TBX3,CellAge
TEAD1,CellAge
TEAD4,CellAge
TERF2,CellAge
TERT,CellAge
TFDP1,CellAge
TFG,CellAge
TGFB1I1,CellAge
TGFB2,CellAge
TGFBI,CellAge
TGFBR1,CellAge
TGFBR2,CellAge
THRB,CellAge
TIGAR,CellAge
TIMELESS,CellAge
TLR10,CellAge
TLR2,CellAge
TLR3,CellAge
TLR4,CellAge
TLR8,CellAge
TMEM9B,CellAge
TNFSF13,CellAge
TNFSF15,CellAge
TOM1,CellAge
TOP1,CellAge
TOP3A,CellAge
TOPBP1,CellAge
TP53,CellAge
TP53BP1,CellAge
TP53BP2,CellAge
TP53I3,CellAge
TP53INP1,CellAge
TP63,CellAge
TPP1,CellAge
TPR,CellAge
TPX2,CellAge
TRA2B,CellAge
TRDMT1,CellAge
TRIM28,CellAge
TRPM7,CellAge
TRPM8,CellAge
TRRAP,CellAge
TSC22D1,CellAge
TTK,CellAge
TWIST1,CellAge
TWIST2,CellAge
TXN,CellAge
TXNIP,CellAge
TYK2,CellAge
TYMS,CellAge
UBE2C,CellAge
UBE2I,CellAge
UBE2N,CellAge
UBE2V1,CellAge
UBE2V2,CellAge
UBE3A,CellAge
UBTD1,CellAge
UHRF1,CellAge
ULK3,CellAge
USP1,CellAge
USP28,CellAge
UTP6,CellAge
VCAN,CellAge
VDR,CellAge
VEGFA,CellAge
VENTX,CellAge
WEE1,CellAge
WIF1,CellAge
WIPI1,CellAge
WNT16,CellAge
WNT2,CellAge
WNT5A,CellAge
WNT7B,CellAge
WRN,CellAge
WSB1,CellAge
WT1,CellAge
WWP1,CellAge
XAF1,CellAge
XIAP,CellAge
XPC,CellAge
XPO1,CellAge
YAP1,CellAge
YBX1,CellAge
YEATS4,CellAge
YPEL3,CellAge
YWHAB,CellAge
YWHAZ,CellAge
YY1,CellAge
ZCCHC10,CellAge
ZDHHC3,CellAge
ZEB1,CellAge
ZFP36,CellAge
ZFX,CellAge
ZMAT3,CellAge
ZMPSTE24,CellAge
ZMYND11,CellAge
ZNF148,CellAge
ZNF207,CellAge
ZNF217,CellAge
